epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,218.018,1.44357,1.09183,1.05126,0.5652,0.68661,0.60991,0.35219,1.34348,0.95985,1.04795,0.000474536,0.000474536,0.000474536
2,431.83,1.30961,0.79008,0.98212,0.67229,0.71584,0.66267,0.37053,1.35052,0.82637,1.03803,0.000943025,0.000943025,0.000943025
3,645.091,1.30797,0.7468,0.97261,0.65873,0.71478,0.67615,0.395,1.27245,0.71922,1.01432,0.00140365,0.00140365,0.00140365
4,857.798,1.29071,0.73596,0.9678,0.6752,0.76034,0.72631,0.42972,1.23986,0.70857,0.98863,0.00139363,0.00139363,0.00139363
5,1070.71,1.27512,0.71856,0.96069,0.70751,0.76629,0.74176,0.43609,1.24256,0.67013,0.9994,0.00138184,0.00138184,0.00138184
6,1283.48,1.2629,0.68727,0.95336,0.69102,0.75304,0.73519,0.4379,1.24008,0.6594,0.9934,0.00137005,0.00137005,0.00137005
7,1496.24,1.25411,0.68935,0.95199,0.72473,0.75442,0.74915,0.44754,1.22781,0.65206,0.99367,0.00135826,0.00135826,0.00135826
8,1708.59,1.23938,0.66744,0.94739,0.71561,0.76937,0.76628,0.45842,1.22919,0.62093,0.99035,0.00134648,0.00134648,0.00134648
9,1921.48,1.23935,0.65855,0.94585,0.71432,0.7526,0.74502,0.44806,1.22129,0.62805,0.99017,0.00133469,0.00133469,0.00133469
10,2134.14,1.22357,0.65759,0.94226,0.72974,0.76643,0.73154,0.43523,1.22761,0.64259,0.9958,0.0013229,0.0013229,0.0013229
11,2346.57,1.22525,0.64783,0.9418,0.69397,0.75241,0.7307,0.43285,1.25545,0.6676,1.00397,0.00131111,0.00131111,0.00131111
12,2559.18,1.23164,0.6469,0.9426,0.71455,0.78875,0.78142,0.46432,1.19766,0.60576,0.98441,0.00129932,0.00129932,0.00129932
13,2771.56,1.21533,0.62966,0.94192,0.74093,0.77216,0.77109,0.44799,1.26668,0.61812,0.99769,0.00128753,0.00128753,0.00128753
14,2984.09,1.19698,0.62169,0.93539,0.73237,0.79641,0.7949,0.47596,1.19289,0.59866,0.97707,0.00127574,0.00127574,0.00127574
15,3196.61,1.2068,0.62891,0.93582,0.74909,0.78463,0.78238,0.46683,1.2055,0.61984,0.98631,0.00126395,0.00126395,0.00126395
16,3409.47,1.20461,0.62302,0.93658,0.74196,0.77878,0.78464,0.46269,1.22863,0.59718,0.99566,0.00125216,0.00125216,0.00125216
17,3621.92,1.19957,0.61889,0.93273,0.74867,0.78889,0.79934,0.47647,1.21759,0.58678,0.98484,0.00124037,0.00124037,0.00124037
18,3834.25,1.19776,0.60941,0.93226,0.74955,0.79416,0.80363,0.47306,1.21983,0.59176,0.9798,0.00122858,0.00122858,0.00122858
